Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
alcoholic_hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
common_cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise
pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise
pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise
pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise
pneumonia,chills,fatigue,cough,high_fever,sweating,malaise
pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
dimorphic_hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown,unknown
dimorphic_hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,unknown,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,unknown,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,unknown,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,unknown
heart_attack,vomiting,breathlessness,sweating,chest_pain,unknown,unknown
heart_attack,vomiting,breathlessness,sweating,chest_pain,unknown,unknown
heart_attack,breathlessness,sweating,chest_pain,unknown,unknown,unknown
heart_attack,vomiting,sweating,chest_pain,unknown,unknown,unknown
heart_attack,vomiting,breathlessness,chest_pain,unknown,unknown,unknown
heart_attack,vomiting,breathlessness,sweating,unknown,unknown,unknown
heart_attack,vomiting,breathlessness,sweating,chest_pain,unknown,unknown
heart_attack,breathlessness,sweating,chest_pain,unknown,unknown,unknown
heart_attack,vomiting,sweating,chest_pain,unknown,unknown,unknown
heart_attack,vomiting,breathlessness,chest_pain,unknown,unknown,unknown
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
varicose_veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
varicose_veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
varicose_veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
varicose_veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
varicose_veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes
hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness,puffy_face_and_eyes
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,puffy_face_and_eyes
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea
hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate
hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate
hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea,fast_heart_rate
hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,fast_heart_rate
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea
